id,q,r
3210,"""The Daily Telegraph is in the pocket of big business interests , it 's about as trustworthy on this as Exxon Mobil 's PR department .""","""It 's an odd article for Telegraph , though I have n't noticed this Bob Carter bloke before ."""
3211,"""For , even when it is assumed by these folk that the embryo has rights , they nevertheless argue that abortion is still acceptable .""","""I do n't get you here ."""
3212,"""A member of Salt Lake County 's SWAT team left an M4 assault rifle in front of someone 's home after leaving the scene of a standoff in the township of White City .""","""A SWAT officer , a member of the `` best of the best `` team as far as police forces go , left a weapon behind where it could 've been snatched up by any two bit criminal and used on a crime spree as people were mowed down by true automatic firepower ."""
3213,"""She thinks the university & # 8217 ; s leaders should have been more open about their failure to provide the killer with adequate counselling , among other things .""","""Oh yeah right , like sociopaths who are bent on killing and slaughtering everyone around them , can be fixed with something as stupid as school counseling ."""
3256,"""Crocodiles and humans live side-by-side in African village - Telegraph Here are some comments made by the Creation Science organization AnswersinGenesis :""","""What you quoted is what Answers in Genesis said . Please do not be dishonest and tell others that I said this as I did not ."""
3257,"""If you reject the literal account of the Creation in Genesis , you are saying that God is a liar !""","""The notion of a literal Genesis was rejected two hundred years ago , when no evidence of it could be found ."""
3258,"""If you think IÂ ’ m nuts , then check this site outÂ… . ( this is fascinating ! -- and DEADLY to evolutionists . )""","""Since you bring it up , I do think that you are a nut ."""
3259,"""I choose to call the god of time and chance The Almighty IT !""","""Almighty nature ?"""
3260,"""What about other 'rational ' alternatives to your version of evolution ; such as that postulated by ID theorists ?""","""ID that submits as a designer something that has any quality of the unknowable is irrational ."""
3261,"""I maintain that anyone who disagrees with this point of view is a depraved monster , a moral leper who is unworthy to be called a true human being .""","""And I maintain that your belief is dangerous to America and people like you should be deported to less civilized countries so you can truly appreciate what you had ."""
3262,"""Originally posted by lappster While I appreciate your comments , they are lacking answers .""","""Here is a paper dealing with the formation of long chains of amino acids using a simulated volcanic vent ."""
3284,"""1 ) What did the bear replace ?""","""The redundant 0.3GHz version was replaced by a serial 0.7GHz upgrade which ironed out most of the problems of the older model ."""
3285,"""You know what is far worse than murder itself ? Executing people to save some money .""","""You know what is far worse than not executing murderers ? Letting 'em sit around , watch tv , and eat pizza . ; \ LEVIATHAN"""
3286,"""Right 's poster boy , this is hugely damaging , do n't you think ?""","""It 's kind of funny that they claim this happened , but ca n't get the woman to come out and say it ?"""
3287,"""As for the intellectuals who wait to have birth later in life , watch Idiocracy starring Luke Wilson .""","""I 'm not selfish , whether you or your buddy JP like to think so or not - I just look at actual reality rather than a fantasy world ."""
3288,"""If you have a position please share it . No need to start new threads as some sort of news service .""","""Well , the Vatican taking a proper moral stand is so rare and note worthy ."""
3289,"""PS 58:8 Slugs and/or snails melt as they move . somewhat true , have you ever paused to watch ?""","""They secrete mucous , they do not melt ."""
3290,"""To bring us back to the topic , I have some questions : In the first paragraph above , do n't you think that omnipresence might imply eternality at least if not omniscience ?""","""First up : omnipresence/omniscience/eternality : I 'm not sure omnipresence is the definitive word to use because it implies that there is something 'other ' than is 'present ' everywhere , alongside or behind every point in the universe ."""
3340,"""SS 's theory predicts that DNA is unpredictable since there is no requirement that some designer entity would be required to abide by some nebulous rule as to the form of DNA .""","""But SS would say that neandertals are humans , right ?"""
3341,"""Nope not at all . Did you even read Genesis 1 and 2 ?""","""Oh sorry , I did n't understand what you were asking ."""
3342,"""Then , a little later , it unified and was called the Catholic church .""","""Catholic Church was a branch of The Church , along with the then Byzantine Orthodox domonination ."""
3343,"""Sorry to just barg in but I believe in our forefathers and I realize not every one does""","""Well , Void , as one that has been fighting these battles for a while now , I 've an observation ."""
3344,"""True - most abortions are not due serious health/life risks - and there is much room for debate as to what other situations are valid enough to warrant abortion or could be addressed in other ways ( my favorite method of decreasing abortion ) .""","""Well said Jitobear . I could n't agree more ."""
3345,"""How did they know that the `` vapors `` of the earth rise to create moisture , that is seeded by lightning with nitrogen and then falls as rain to fertilze the soil ?""","""WHAT ? I do n't see anything regarding that . Seriously , what are you talking about ?"""
3346,"""To apathy : Call me crazy , but I still do n't see any evolution in the peppered moths ! !""","""Also another example put forward is a bacteria that can only sustain itself by eating Nylon ."""
3347,"""There has been a decrease in diversity ( probably due to global catastrophes ) . This is the reverse of what evolutionary theory predicts.38""","""No , it 's not ."""
3348,"""Does it require only council approval or is a public vote necessary ? What is council/public sentiment ?""","""City council vote only , not sure about public sentiment , but from what I gather , most people do n't care because they do n't own guns ."""
3349,"""simple .... many Christians have been deceived""","""Whether or not the christians have been 'mislead ' ( which again is dubious given your astronomical arrogance ) , it does n't change the fact that christians accept evolution , which runs very contrary to both you and Marc 's asinine assertions that evolution is atheistic ."""
3350,"""please incurage him to post his report . or if he would not like to , would you ask him is people can request a copy ?""","""Apparently we are still waiting for to to be graded ( it was really big , at leat 20 typed pages ) ."""
3351,"""Atheists are clearly capable of all of these , but if human beings are just collections of bones , blood and tissue , what do these things mean and why is there any virtue in them ?""","""So atheists are capable of goodness , love , kindness , generosity and sympathy but they have no meaning unless one conforms the the fundamentalist christian morality ."""
3352,"""I ca n't claim originality for this proof , but I have never heard any good refutation of it .""","""Its an inherent contradiction and it simply means we do n't have the capacity to understand it ."""
3353,"""do u favor abortion ? Yes . Maybe . No .""","""I do n't favor abortion but I favor a woman 's right to choose abortion ."""
3403,"""Evolution is basically a naturalisitic way of explaining how everything could come into being without the need for a Creator God .""","""Now you are being insulting . Evolution makes no statments about your god . For that matter , neither does cosmology , astronomy , chemistry , physics or geology ."""
3404,"""Except here , the giant reptiles share the forest with Adam and Eve .""","""So will they be in front of or behind a leaf ?"""
3405,"""I mean , we did n't have to do anything in order to be condemned to eternal damnation ... except be born !""","""Well I do n't know about you guys , but I was baptized so I 'm out of that eternal damnation thing ."""
3406,"""I am very interested to know exactly how they haven utterly disproven YEC ?""","""YEC has not made any valid rebuttal of evolution or the AoE yet , and that is the camp which is making claims for absolute truth ( off course , we know this itself is not true but based on a point of view ) ."""
3407,"""When you start to squeeze a cricket with a pair of pliers , it starts to wiggle and tries to get away so as not to get crushed by the pliers .""","""If you feed me a lot of caffinated coffee i start to wiggle and squirm too . I 'm not really in any pain ."""
3408,"""As many polls have shown , the more educated a person becomes , the less likely it is that he/she is a creationist .""","""I would n't need a poll to tell me that almost none of them would believe in creation ."""
3409,"""5 , By L. LEWIS WALL MOTHERHOOD is a blessing , but in many parts of the world childbirth leaves women permanently injured and turns them into social outcasts .""","""WouldnÂ ’ t it be wonderful if every woman in the world had access to decent prenatal care , if every woman in the world could be guanateed safe childbirth , wouldnÂ ’ t it be wonderful ?"""
3501,"""What should we argue for as a result of these senseless killings ? Where should our anger be directed , if at anything ?""","""I think we should argue that it 's time to stop making people easy targets ."""
3502,"""The inanity in defence of guns continues unabated .""","""You know that many gun laws are going to fall to the sword of justice , and you just ca n't stand the fact that your side is going to be brought back into check , just like any other ."""
3503,"""Go read a biology book .""","""Go read our decleration of independence ."""
3504,"""Pro-Choice : Object to the mother needing to raise a child she did not want to have .""","""Object to the woman being required to remain pregnant when she does not want to be ."""
3505,"""In my experience , creationist scientists were always creationist long before they were scientists .""","""I found them quickly - there are probably others like them who were once atheists , who became scientists , and subsequently creationists ."""
3506,"""You act as though that 's somehow a dangerous or far worse view than it is -- as if they 're KKK members or something and that it 's going to cause violent behavior .""","""Actually , most people do not hold the view that existing marriages should be dissolved ."""
3507,"""Do you support laws that warrant the impunity of infanticide women , based on arguments such as `` post partum depression `` ?""","""I will never believe in it , however my views upon what would happen AFTER she gave birth to the baby ."""
3536,"""Irreducible complexity proves this is incorrect ,""","""As such you can not use it to 'prove ' something incorrect ."""
3537,"""Why are some parts of the bible open to interpretation , but others are rigid ? .""","""The bible is not a science textbook . I do not treat it as such ."""
3538,"""If that is true why do n't pro-choicer want the pregnant women who seek abortion to be informed .""","""Why , if one wants to have an abortion , should one be FORCED to view a sonogram ?"""
3539,"""The chances of pregnancy as a result of rape are extremely small .""","""You are correct , but contingency must be in place to deal with it when it occurs ."""
3540,"""Well , as the Christain Zealots say , `` Eve ate the apple `` .""","""Oh , yes : they often say that sin and evil should exist because of free will , but they also condemn Eve for eating the apple ."""
3541,"""I have common sense and I use it .""","""`` common sense `` what makes your common sense better then mine ? how do you know your common sense is correct ? common sense is relative , not absolute ."""
3542,"""who knows but recent studies do show an increase in depression/substance abuse ( and things of that nature ) after abortions ...""","""So which came first ? The liquor or the egg ?"""
3564,"""This Pauline gospel of a dying and rising savior bore unmistakable similarity to many of the Greek and Roman mystery cults which had similar stories .""","""Well , the claim is n't that they were identical , just that they preceded Jesus and were very similar ."""
3565,"""1. artificial selection Definition : The selective breeding by humans towards a desired trait in a plant , animal , or other organism which is of value ( usually economic ) to the humans .""","""It is n't that natural selection operates on the same principles as artificial selection , but the reverse ."""
3566,"""... and 8 beers are imo worse than one joint . People tend not to smoke as many 'doses ' of pot as they drink 'doses ' of alcohol .""","""This obviously depends on the person ."""
3567,"""The Forum rules . 3a ) No Personal attacks , insults , name calling , offensive generalizations , or labeling .""","""I fail to see where I broke any of those rules , no names were called , there was no labeling , there was no none of it ."""
3568,"""Is there really a difference between this and the theory of spontaneus generation ?""","""Yes . Only the ignorant think not ."""
3569,"""Pregnancy is n't expensive at all unless you 're conned into thinking it has to be .""","""Oh , really , pregnancy is not expensive ?"""
3570,"""You need n't be far left to support reasonable gun regulation .""","""Reasonable gun regulation is an oxymoron like military intelligence ."""
3571,"""Do you object to this ban for reasons other than `` It 's a pointless waste of money `` ? -Wez""","""I believe it 's a matter of personal individual freedom ."""
3572,"""Has there ever been a case of assault that involved a bayonet attached to a rifle ?""","""Well I heard it was a big concern in la amoing gang circles as the drive by was becoming `` cowardice `` ."""
3573,"""( Of course you did n't have them as part of a gay couple , if that 's the point you were trying to make )""","""Actually , if you bothered to pay any attention whatsoever , it actually goes against your point entirely ."""
3574,"""He was barred for presenting hard evidence against the Big Bang .""","""He was at various different observatories ."""
3575,"""Of course , they threw in that he 's a prof. of Electrical Engineering - they could n't help blow a little smoke to haze the issue .""","""Electrical engineers in general have a pretty poor track record when discussing issues that have nothing to do with ... electrical engineering ."""
3576,"""2 . REPEAL NEW RULES ALLOWING CONCEALED CARRY IN NATIONAL PARKS""","""So even though you can legally conceal carry right up to the gate of the national parks , and you can legally hunt within the parks , somehow concealed carry in the parks will become more dangerous ?"""
3577,"""I do n't see how this makes her as an anti-gun candidate .""","""So , you do n't see how stating that in a functioning democratic society guns belong only in the hands of the state is not anti gun ? ?"""
3606,"""The majority of donators to the Red Cross are most likely Christians as well , so what 's your point ?""","""But is the Red Cross Christian ? Obviously most contributors are Christian . That 's obvious as most Americans are Christian ."""
3607,"""Thank-Gawd the court saw the wisdom in striking this law down .""","""not bad for a procedure that does n't exist ."""
3608,"""If so , why do we still have apes , and why are there no transitional species that we can currently observe .""","""-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- How are we to know that there has not been a few hundred , there are none in my neighborhood , how aboput yours ? ? ?"""
3609,"""The evolutionist zealots are essentially pushig to remove any possible religous connotation from evolutionary teaching .""","""Of course evolutionists want to remove any possible religious connotation from evolutionary teaching ."""
3610,"""You snipped most of my remarks because you were unable to address them .""","""Actually , I snipped your remarks because 1 ) you twisted what I said and 2 ) I 'm already spending too much time arguing with random complainers and I was in a hurry to do something more important at the time ."""
3611,"""Some animals also have ( superficially ) changes species - eg wolves to dogs . Finally , fossil records show clear evidence of 'macro'evolution .""","""I 'm not surprised that no one on your side of the debate would correct you , but wolves and dogs are both members of the same species ."""
3612,"""if there 's no god in this world then there 's not a god in all worlds 8 .""","""in otherwords , we can not assume that there is a possibility that the greatest possible being does not exist ."""
3613,"""I could simply reply that pregnancy is preventable , that it is not a permanent condition and if one is patient it will end with the child 's birth .""","""This is different than stating that abortion is the same , in principle , as killing a born child ."""
3614,"""Its fair because it would help pay for all the damage guns do to society .""","""Should all drivers have to help pay for harm done by irresponsible drivers ?"""
3615,"""All of the British papers keep going on about how bad it is , how more people than ever are being gunned down in the streets , how guns are being imported into Britain and resold through underground channels , how criminals employ young women to act as gun mules for transporting and storage , etc .""","""No , the tabloid and other gutter press keep going on about how bad it is , because they sell papers by fanning fear and hatred , and fear of crime is one of their biggest markets ."""
3616,"""Right now , the majority of Americans DO believe that gay marriage IS wrong .""","""My goal is to convince readers of my writing that Americans SHOULD agree with same-sex marriage because it is morally correct to do so ."""
3617,"""How do you reconcile your Christianity with the portions of the bible that specificly deal with homosexual activity as a sin ?""","""Many of the Christian denominations are ignoring them the same way they ignore the prohibitions against pork , mixed cloth , and stoning your children to death because they sass you ."""
3618,"""The dino would be to heavy to glide or fly with them if they were n't fully developed , and even then only a few yards could be gained when jumping off a hill , ect , and when not fully ready .""","""The fact that they were too heavy , is simply untrue , see previous post ."""
3619,"""You simply sidestepped them because they make your argument look as stupid as it really is .""","""And you people whine at me about using personal insults ( ) ..."""
3620,"""Then you would have to be believe that out of the supposed millions upon millions of people who walked the Earth none of them were pregnant and there were no newborns either .""","""Or could it be possible that God , as the sovereign and just Creator of the universe , through his divine will , could have orchestrated the world in such a way , that there was not one pregnant person on the earth during this time period ?"""
3621,"""* correct me if I wrote the scientific method wrong *""","""The best succinct representation of the scientific method is probably circular : We make an observation about what we see ."""
3622,"""In other words , I ca n't see ID theory , which seems to me to be essentially a form of theistic evolution , being compatible with Young Earth Creationism , or for that matter , with any form of literal Creationism .""","""That is an interesting point- from what I have read of ID there are a number of tenants it does not oppose ( a good example being a very old earth/universe ) that would instantly put it at irreconcilable loggerheads to YECism ."""
3623,"""Beings are alive , corpses aren t.""","""You seem to be arguing that a corpse is a human ."""
3624,"""Everything that happend in the universe happens according to `` laws. ``""","""Do you have to work at becoming so scientifically illiterate ?"""
3625,"""Who wants healthcare run by large corporations that have rigged the market for cost twice as large as in other developed countries ?""","""President Obama ! ? What did I win ! ?"""
3626,"""Are they planning fun fair rides and people dressed as Mickey Mouse at this place ?""","""It 's not a theme park ."""
3641,"""The conclusion is that the eye , a complex visual system , was fully formed and functional extremely early in the fossil record .""","""Misleading : having complex eyes in trilobites in no way contradicts evolution ."""
3642,"""If you do n't believe in abortion and you do n't believe in any kinda of birth control then that is your belief ...""","""It is horribly oppressive of women , though , to oppose both abortion and contraceptives ."""
3643,"""[ b ] [ b ] You have not had many REAL conversations with pro-choicers then . The Planned Parenthood Motto is `` EVERY CHILD A WANTED CHILD . '""","""And if you 've ever read any of the speeches by PP 's founder , you 'd also know that every child should be a WHITE CHILD , too ."""
3644,"""Why should people be allowed to vote on my marriage ?""","""This question is premised on an untenable assumption : that people should not be allowed to vote on particular issues ."""
3645,"""IÂ ’ m guessing you got the idea from Braveheart which is my favorite movie of all time !""","""Exactly where it is from . Great movie ."""
3646,"""Isaac Newton sought out the hand of God , through science . He is a prime example of what I mean .""","""I asked you before to give an example of where Newton found empirical evidence of God ."""
3647,"""That 's left to market forces .""","""And if left to market forces they can charge whatever they want ."""
3648,"""Belief that memory and free will exist but do not take up space does not require belief in a personal god .""","""Well memory is NOT something that is immaterial is it ."""
3649,"""Marriage is also legally binding . Tax breaks ? Ever hear of the Marriage Penalty ?""","""In my state it is not legally bindingm we did it anyway ....."""
3650,"""It does highlight how criminals have easy access to weapons simply through burglary .""","""What this highlights is that the laws of the land are ignored and some people try to place the blame on the victims ."""
3651,"""A child 's right to their life should begin when their life does and not just when you ca n't justify their denial anymore .""","""Because the law is not on your side ."""
3652,"""The only obsession is see is the obsession gays have in seeking acceptance for their lifestyles ....""","""You keep starting all these threads on gays , that & # 8217 ; s called obsession ."""
3653,"""it just is a whole bunch of ideas coming from some fat guys with no women in their life ...""","""You mean Priests ? Because I hear the ladies are crawling all over them , ca n't get enough of that catholic loving ..."""
3654,"""Any of these arguments sound familiar ?""","""That was ... interesting ."""
3662,"""* * Derived from the materialist Hobbesian view that 'life/nature ' is , `` A war of all against all. ``""","""Without it , the life of man would be `` a war of all against all `` , and would be `` solitary , nasty , brutish , and short."""
3663,"""Why do you think the dude in the article said how `` depressing `` all this is ?""","""Possibly because it 's a bit like nearing the top of a mountain and seeing a still taller one looming ahead ."""
3664,"""You say that like it was a bad thing .""","""well - let 's see - business gets taxed for buying things and capital gains goes up to 45 % means that they sell a small retail location and make a modest profit that almost 1/2 gets wiped out with Obama 's redistribution of wealth means WHY bother expanding - we make enough money - screw those who have no jobs - IT IS NOT WORTH IT TO CARE since the government does n't care about ME keeping money to help them ..."""
3665,"""I 'm not against concealed carry in principle but open carry seems silly to me . I smell posers .""","""Posers `` ?"""
3666,"""Who are you to tell me which `` tools `` I need ?""","""It absolutely astounds me that there are Americans who feel that they can me people JUSTIFY things that other Americans want to do ."""
3667,"""Honestly . Jesus Christ existed : you admit that much . Why will you not believe in Him ? !""","""Because there is no reason to do so ."""
3668,"""hey D , i am not going to get attitude w/ you .. i do n't see a piont in getting mad at you""","""Did I ever say that ?"""
3669,"""regardless , we have yet to see any evolution of new body parts or its so called `` steps `` if evolutionists want to suggest that a few decades is too little time""","""When you consider that it is important to maintain some sort of consistency in study populations , obvious mutants are excluded from the breeding stock ."""
3670,""". . . . Someone 's right to life , again as I understand it , trumps any other rights that other people may have .""","""My point here is that it could be argued very reasonably as to whether or not a fertilized egg , a zygote , an embryo , fetus , etc. , is a Someone ."""
3671,"""We may not get abortion made illegal ,""","""you 'll also have to amend the constitution to remove any references to bodily autonomy ."""
3672,"""A gun death is a gun death , whoever pulls the trigger .""","""A gun death is a gun death , whoever pulls the trigger ?"""
3673,"""Many on the religious right claim a belief in the existence of Satan and blame him for many of the evils in this world .""","""Answers include but are not limited to : Â• People need a solution for the Problem of Evil ."""
3674,"""If so ( and I ca n't be bothered to read the OP ) , its not a fair comparison .""","""Actually , you make it clear that it is fair ."""
3675,"""No , anyone who denies one freedom is a slaver . If you think about it , slavery requires life .""","""What basis do fundamental rights derive from ? In other words , how can we tell whether something is a fundamental human right ?"""
3676,"""... God does not fill the word `` who `` because to most accounts he is not a person , or being . ...""","""A being is something that is conceivable as existing ... or something that actually exists ."""
3677,"""If you ground him from using the phone , you 're a terrible father for tapping him on the wrist .""","""So it would be more loving to severely beat the child ... forever ? ''"""
3678,"""If they truly do exist , they must be in the position to understand the God of the Gaps they 're worshipping has become microscopic .""","""How has God become microscopic ?"""
3679,"""All men and women are , by nature , free and equal , and have certain inalienable rights -- among which are those of enjoying and defending life and liberty , acquiring , possessing and protecting property , and pursuing and obtaining safety and happiness .""","""and section 6"""
3680,"""Indeed the court 's reasoning may have been as racist as your own .""","""Of course , anyone who disagrees with your knee jerk reaction to any issue must be a racist , be it me or the US Court of Appeals ."""
3681,"""Any attempt by the United Nations to restrict the right to bear arms in the US would be the last straw for the American electorate .""","""I think such a move would qualify as a recognized declaration of war ."""
3682,"""In Antarctica , penguins had plenty of fur , enough to die when they progressed to the tropics .""","""Actually , penguins are birds . Therefore , they do n't have fur , but feathers . However , your point still holds ."""
3683,"""Is there some sort of a symbolic potent phallic aspect to holding a gun in one 's hand ?""","""Different sort of penetration , so no ."""
3684,"""I am just having trouble reconciling the idea of removing a fundamental right based on a misdemeanor conviction and was wondering if there is similar precedent elsewhere .""","""Could it be that the Supreme Court does not view the right protected by the Second Amendment as being fundamental ?"""
3685,"""I happen to believe that a person 's life and their right to the life they are living begins at conception .""","""How special , now all you have to do is prove that a glob of cells has rights"""
3686,"""What are you talking about ? The mother along with the father made the baby .......""","""He 's pointing out that the situation is about the mother and the baby , and that the baby 's right to life ends exactly where the woman 's right to personal autonomy begins ."""
3687,"""seems to me that people dont really care about how the baby feels . It has just as much feeling as the mother .""","""Given that the fetus can feel no pain ( in the vast majority of abortions ) , whose pain should I be concerned about ?"""
3688,"""These types of verses are anthropomorphic in nature , meaning that the writer is attributing human characteristics to God .""","""Is that not the whole impetus of the `` Intelligent Design `` movement ?"""
3689,"""As for God communicating to us , there is nothing that prevents that .""","""Nothing that prevents it communicating in theory , but I have covered the communication aspect already in this post ."""
3690,"""This would disprove your atheism .""","""And you determined that I am an atheist exactly how ?"""
3691,"""LOL ! And 'basically ' .. banning firearms ( as often proposed by many democRATS ) is 'reasonable ' ? Get bent !""","""Well , `` reasonable `` is clearly subjective ..."""
3692,"""The enemies of freedom do not argue ; they shout and they shoot .""","""And Eisenhower :"""
3693,"""Brace yourself , howard ...... a new poll released today in the NY Times says most americans favor teaching creationism in the schools ......""","""After all , Grimm 's Fairy Tales is a wonderful read and who can deny the happiness Santa brings to 2nd graders ?"""
3694,"""One misconception is that Evolution does n't explain how life formed originally or came to be .""","""It is the myth of evolution ."""
3695,"""7 Teens Shot Near Detroit High School By JEFF KAROUB , AP DETROIT ( June 30 ) - Gunmen in a green minivan opened fire on a group of teenagers waiting at a bus stop near a Detroit school on Tuesday , wounding seven including three who were in critical condition , authorities said .""","""Oh god I guess you know where this is headed ?"""
3696,"""tell me this and ask as many questions as you want , I can answer and truthfully .""","""Please off one scientific piece of evidence in support of biblical creation ."""
3711,"""Your definition is that those creatures with survival advantages and characteristics will survive .""","""I said that natural selection is differential reproductive success ."""
3712,"""That 's true , as long as ones pursuit of science is really science .""","""I think an open mind is the best thing to have when it comes to theories . I think there is some truth in everything ."""
3713,"""there is no numerical superiority when it comes to truths , values or morality .""","""I have to agree with Jo Bennett here Fracas , you 're simply injecting your personal opinion about morality into a conversation on statistics ."""
3714,"""Makes quite a difference . Still a third trimester baby .""","""yeah , i misread it . still .... the point is the same ."""
3715,"""Evolution surely has a heritable component""","""I 'm glad to see you 've finally come around ."""
3716,"""It would have been more correct for you to state that basically everyone you know is Christian .""","""This is correct . It is almost insulting to regard people as either a ) Christian OR Catholic - as this also implies that Orthodox are neither"""
3717,"""The wewll-known scientist , Lee Spetner , picks up on this dishonesty --""","""Of course , when wabbit says `` dishonesty , `` he means `` oversimplification `` ; the NMSR webpage is clearly designed for the layperson , not the geneticist ."""
3753,"""Is Sarah Palin being a manly sort when she shoots a wolf from a helicopter ?""","""Only if she 's piloting at the same time ."""
3754,"""In my state , Advance Directives and Living Wills are legally binding .""","""What if they said that because of organ donor shortages that now it would be law in your state that when you die , all of your organs would be taken out and reused without your permission ."""
3755,"""You could also say that violent killers and serial rapists are being discriminated against for `` who they are.""","""why the comparison of gun owners yo violent killers and serial rapists ?"""
3756,"""Have you ever been everywhere at once to see there 's no Zeus ?""","""Lastly , if Zeus or any other mythological gods existed , why would n't they/it preserve their worshippers ?"""
3757,"""The death penalty assures that an incorragable criminal never has the opportunity to kill anybody else .""","""So , in summary , you are n't against the death penalty on principle ."""
3758,"""President Obama signed legislation letting people carry concealed weapons in national parks and in checked luggage on Amtrak trains , adopted the gun lobbyÂ ’ s empty rhetoric about just Â “ enforcing the laws on the books , Â ” and muzzled Cabinet members who expressed support for stronger gun laws .""","""Forgive me for laughing ; no , not really ha , ha , ha ha ha"""
3759,"""if it is possible then God can do this .""","""But your proof did n't claim that God could do anything possible ."""
3760,"""1 ) ... 2 ) ... 3 ) ...""","""Why do n't you just sum it up with `` If you 're not a fundamentalist Christian `` ? You also fail to consider Christian agnostics ."""
3761,"""I also ca n't help but wonder if you 'd be complaining so much about this 'simple majority ' thing if it was 51 % passing an amendment that FAVORED gay marriage .""","""Actually , yes ."""
3762,"""If you base your beliefs on science you will almost always have to change them so are they really beliefs ?""","""If you think something is correct then you believe this ."""
3763,"""That I guess is one of my main stumbling blocks in believing in evolution .""","""I do not believe in evolution ."""
3764,"""I do n't believe in any gods , but thankyou for assuming anyone who disagrees with your ridiculous assertions about proving gods non-existance must be a theist .""","""So why are you here ? Do you have anything to offer of any substance ?"""
3765,"""Where does one need faith , exactly , to make claims about evolution ( hint : faith is not needed ) .""","""The big bang , life from non-life , the progression of life from the simple to the complex , just to name a few ."""
3766,"""Also , Lincoln was Republican an Kennedy a Democrat .""","""That clearly went whooshing over your head ."""
3767,"""what do you mean by opinion ? Whether or not to allow them or whether or not they last .... give us something""","""just how i said it ... opinion ... like , what you think of it"""
3768,"""Now , anthropology , archeology , and forensics are constantly deciding that entities are manufactured by an intelligent entity -- humans in this case .""","""But you know that this is not what I was saying : We have a basis for comparison ."""
3769,"""The fact that much of society views this issue differently than the issue of black people only underscores my point .""","""No one is forcing you to discuss the topic of this or any other thread ."""
3770,"""Whenever a church strays from the entire word of G-d , then His blessings are removed and the church becomes noting more than another social club .""","""So the entire Catholic Church is nothing more then a social club ?"""
3771,"""I 'd like to see freedom and equality myself .""","""Well , many argue that pro gay rights is a conservative ."""
3772,"""Nope . There really is n't . 100 %""","""so thats quite contradictory to me ..."""
3773,"""The public option before the Congress is not subsidized .""","""Yes it is ."""
3788,"""# 1 - How are we now able to observe evolution , when the evolution of the world supposely took billions of years ?""","""Not all evolution takes place over billions of years ."""
3789,"""Through evolution we have been able to trace how life has evolved ( which even ID admits ) through time .""","""That 's true , but how much have we actually learned , and how much have we theorized , with an atheist presupposition , the only presupposition currently allowed ?"""
3790,"""Here 's a hint : if you want people to read a long-winded post , you have to make it interesting for the reader .""","""It was a pretty clear rebuttle of the idea that the ToE breeds social elitism , Marxism , and Nazisim ."""
3791,"""Numbers 31:17 17 Now kill all the boys . And kill every woman who has slept with a man .""","""Obviously not about abortion ."""
3792,"""To be honest , Jito and Simone have rather poor arguments that normally resort to calling someone a woman hater or something like that .""","""But can you answer simone or jito 's argument 's successfully and counter their posts ? If you ca n't , then in essance , they won ."""
3793,"""Those who have firearms in their homes are more likely to die of murder""","""would that be legaly owned guns , or criminals who have guns ( and also ues guns ) for there crimes ?"""
3794,"""Other than self-defense , the use of a gun against another human is socially undesirable .""","""And yet the Brady Campaign and Violence Policy Center can come up with only a handful of incidents where a concealed carry holder assaulted another ."""
3802,"""A child is not an invader , though , a parasite living off his mother .""","""The argument that the baby is not a parasite , but is rather 'in its natural environment ' seems a false dichotomy : it is natural for a parasite to be in the enviroment of another 's body , invading it ."""
3803,"""The equivalent of ID is doing all the experiments with the apple , measuring the mass of the apple and the Earth , and figuring out gravity , publishing it , and the public supporting that hypothesis with their experiments , with no refutations or flaws , and then some people coming along and saying , `` well maybe magic fairies caused the apple to fall just the way it does , ever think of that ?""","""That 's NOT the equivalent of ID - you 're mixing causes effects ."""
3804,"""Like the `` little ones `` are really that interested in the political greed of gay activism .""","""Funny , my son , even before I `` came out `` did n't think gays were bad or being gay was bad ."""
3805,"""I think we 're seeing a culture war . Hardly seems a fair fight though , since only one side has any .""","""Oh sinj.do n't let it get you down , it do n't mean nothing ( sorry could n't help it )"""
3806,"""Is there any way to make a person out of a rib ? I mean , it sounds like a fairy tale to me .""","""So would genetic enhancement 100 years ago ! Peace ,"""
3807,"""The mother will have the ability to force the father into paying for something he did n't consent to !""","""Actually you could look at this issue in several different ways."""
3808,"""Walking-fish : What I 'd like to know is where this specimen fits in with the following lineage :""","""Eusthenopteron - > Panderichthyes - > Tiktaalik - > Acanthostega - > Ichthyostega"""
3809,"""What 's the difference between humans and chimps ?""","""Well , both are b -- -- y nuisances and one is a bit shorter and hairier than the other ."""
3810,"""With all the medical technology a child should be born and the mother survive .""","""The simple fact is that people do n't want the immense responsibility that logically pertains to their voluntary actions actions , so they fabricate denials of reality as a convenient escape , out of pure selfishness -- like every other atrocity in history ."""
3811,"""They are MAD that a Black Man ! Is in the White House !""","""Well , that statement would be half right"""
3812,"""As an aside I invite readers to observe , going forward , how these issues are often treated as interchangeable by those advocating ID in the classroom .""","""I canÂ ’ t think of another subject on this planet that has the interchangeability that evolution does . Dawkins ;"""
3813,"""They did n't `` prove `` anything ! !""","""Yes they did : `` ... it ate itself. `` No wonder they 're extinct ..."""
3814,"""`` Douglas Futuyma is a PHD at the University of Michagan .""","""There 're no authorities in science ."""
3815,"""Because it will encourage teens to engage in riskier behavior .""","""Bah humbug . Their hormones are all the encouragement they need ."""
