,id,sentence,is_q,label,tokens,q',r'
24452,3898,THEN WHY DID YOU HAVE SEX ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?,1,1,143,"A similar statment now would be `` If i have a baby , my life will not be the way i want it to be and i will not be able to finance the baby `` .... THEN WHY DID YOU HAVE SEX ? ?","Because they do n't know any better . Besides , how many unwanted pregnancies have you had ? How many abortions ?"
25283,4049,"( 1 ) the term international terrorism means activities that ( A ) involve violent acts or acts dangerous to human life that are a violation of the criminal laws of the United States or of any State , or that would be a criminal violation if committed within the jurisdiction of the United States or of any State ; ( B ) appear to be intended ( i ) to intimidate or coerce a civilian population ; ( ii ) to influence the policy of a government by intimidation or coercion ; or ( iii ) to affect the conduct of a government by mass destruction , assassination , or kidnapping ; and ( C ) occur primarily outside the territorial jurisdiction of the United States , or transcend national boundaries in terms of the means by which they are accomplished , the persons they appear intended to intimidate or coerce , or the locale in which their perpetrators operate or seek asylum ; ( 2 ) the term national of the United States has the meaning given such term in section 101 ( a ) ( 22 ) of the Immigration and Nationality Act ; ( 3 ) the term person means any individual or entity capable of holding a legal or beneficial interest in property ; ( 4 ) the term act of war means any act occurring in the course of ( A ) declared war ; ( B ) armed conflict , whether or not war has been declared , between two or more nations ; or ( C ) armed conflict between military forces of any origin ; and ( 5 ) the term domestic terrorism means activities that ( A ) involve acts dangerous to human life that are a violation of the criminal laws of the United States or of any State ; ( B ) appear to be intended ( i ) to intimidate or coerce a civilian population ; ( ii ) to influence the policy of a government by intimidation or coercion ; or ( iii ) to affect the conduct of a government by mass destruction , assassination , or kidnapping ; and ( C ) occur primarily within the territorial jurisdiction of the United States .",0,1,396,"The list with an unknown criteria for getting on , no disclosure so you know even if you are on it , and absolutely no way to get off of it .",Unknown criteria ? ( 1 ) the term international terrorism means violent acts or acts dangerous to human life to intimidate or coerce a civilian population
28021,4523,"Evolutionary science has succesffuly hoodwinked the public into believing that dinosaurs are millions of years old , and they know if they admit this is false after all these years of fibbing to people , that the door for Creationism will be swung WIDE-OPEN ..... and the scam-artist atheists in science and the media -- knowing how they love controlling poeple 's minds -- simply can not have people thinking this way , so they keep this charade going .",1,0,106,"I want someone to please tell me exactly what evidence is there to suggest that dinosaurs are millions of years old ? They 've been dated via carbon 14 at 9-15,000 years old ..... `` Evolutionary science has succesffuly hoodwinked the public into believing that dinosaurs are millions of years old","Well , I DUNNO ? ! ? ! Did god do it ! ? ! ? ? ! ? ! Of course dinosaurs exist . There are fossils proved to be millions of years old , by real scientists . Why is it so hard for you to accept the way the universe was made ?"
28328,4568,"If we manage to detect weapons sold illegally in the United States in violation of this law on the control of weapons exports , or if , in the United States , they can have probably move forward on a good registry of armament or on the prohibition of certain massive sales of weapons , for example , to a hunter or to a common citizen we know that these people do not usually buy hundreds of rifles or assault weapons or grenades if we can move forward in those areas , I do believe that security both of the United States and Mexico will improve because those weapons are pointing against Mexican people and Mexican officials today .",1,0,121,I do believe that security both of the United States and Mexico will improve because those weapons are pointing against Mexican people and Mexican officials today .,President Obama Backs Inter-American Arms Treaty
28658,4621,"Through its ability to solicit and secure the attentive care not just of its mother but of many others in its sensory purview , a baby promotes many of the behaviors and emotions that we prize in ourselves and that often distinguish us from other animals , including a willingness to share , to cooperate with strangers , to relax oneÂ ’ s guard , uncurl oneÂ ’ s lip and widen oneÂ ’ s pronoun circle beyond the stifling confines of me , myself and mine .",1,0,105,"baby social skills infant beyond the stifling confines of me , myself and mine Evolutionary","IÂ ’ ve had three children , which gave me an opportunity to observe intimately the development of infants . Also , I worked with emotionally unstable children aged 3 and older , and observed what a delightful species the three-year-olds are . At that point , infants have progressed from the largely self-involved awareness of the 24-month infant as the developing human deals with the problem of separateness and , as a result , issues a robust declaration of independence . Â No ! No ! No ! Â are the bywords of a two-year-old . Â No ! I wonÂ ’ t ! And you canÂ ’ t make me ! Â"
29108,4694,"But when the right to vote at any election for the choice of electors for President and Vice President of the United States , Representatives in Congress , the Executive and Judicial officers of a State , or the members of the Legislature thereof , is denied to any of the male inhabitants of such State , being twenty-one years of age , ( See Note 15 ) and citizens of the United States , or in any way abridged , except for participation in rebellion , or other crime , the basis of representation therein shall be reduced in the proportion which the number of such male citizens shall bear to the whole number of male citizens twenty-one years of age in such State .",0,0,135,that a woman has the right to determine what is done with her bodily resources during pregnancy lacks justification . Do you assume that this is an absolute right in every circumstance ( even before the 14th amendment existed and even in countries where it does not apply ) ?,"the 14th has little to do with a mother 's obligations and rights regarding her children . It does prohibit states from denying rights , but it says nothing of a mother 's milk ."
29110,4694,"No person shall be a Senator or Representative in Congress , or elector of President and Vice President , or hold any office , civil or military , under the United States , or under any State , who , having previously taken an oath , as a member of Congress , or as an officer of the United States , or as a member of any State legislature , or as an executive or judicial officer of any State , to support the Constitution of the United States , shall have engaged in insurrection or rebellion against the same , or given aid or comfort to the enemies thereof .",0,0,113,that a woman has the right to determine what is done with her bodily resources during pregnancy lacks justification . Do you assume that this is an absolute right in every circumstance ( even before the 14th amendment existed and even in countries where it does not apply ) ?,"the 14th has little to do with a mother 's obligations and rights regarding her children . It does prohibit states from denying rights , but it says nothing of a mother 's milk ."
29654,4805,"http : //www.baptistlink.com/dman/fossil4.html this says 200,000 - 400,000 http : //www.dentalgain.org/erect.html this says 300,000 http : //www.anth.ucsb.edu/faculty/walker/classes/anth121/121archaic.pdf # search='rhodesian % 20man % 20400 % 2C000 % 20years ' 300,000",0,1,106,"If you were not lying you 'd have a argument . Rhodesian Man is dated between 200,000 and 125,000 years . Your other dates are off as well","http : //www.baptistlink.com/dman/fossil4.html this says 200,000 - 400,000 http : //www.dentalgain.org/erect.html this says 300,000 http : //www.anth.ucsb.edu/faculty/walker/classes/anth121/121archaic.pdf # search='rhodesian % 20man % 20400 % 2C000 % 20years ' 300,000"
29813,4832,"I also find it hard to believe some of what gets posted in favor of the slippery slope argument- such as claims that Sarah Brady wants all guns to be banned which are contradicted by quotes by her in credible online sources and also such statistics as `` [ i ] t is estimated that there are between 22,000 and 30,000 gun laws on the books in America `` which have little basis in fact : `` The belief that there are approximately 20,000 gun-control laws in the United States has become received wisdom .....",1,0,115,Could it be that pro-gun extremists find it necessary to resort to the slippery slope fallacy because they find it otherwise difficult to make a convincing argument against reasonable and common sense gun laws aimed at protecting law abiding citizens from gun violence and the misuse of firearms ?,In other words we do n't really have a clue here but we 'll call it short so we win . Nice try though .
30252,4911,"that 80 % Lesbian Lot ( by their own count and definition ) , continue to whine about women not being given 'equal rights ' , all the while , 51 % of the population ( that 's women ) own the MAJORITY of the wealth , represent the greatest number of teachers , have more rights on college campuses than their male counterparts , have more legal rights than men , are given legal custody of children-even when they are drug addicts/drunks/abusers , and are overwhelmingly the recipients of alimony ( regardless of their being no children in the marriage ) .",0,1,118,Is it possible to tell the real men from the fake men over the internet ? Wait .. let me check ...,"Hello , Let me see , N.O.W . that 80 % Lesbian Lot ( by their own count and definition ) , continue to whine about women not being given 'equal rights ' , all the while , 51 % of the population ( that 's women ) own the MAJORITY of the wealth , represent the greatest number of teachers , have more rights on college campuses than their male counterparts , have more legal rights than men , are given legal custody of children-even when they are drug addicts/drunks/abusers , and are overwhelmingly the recipients of alimony ( regardless of their being no children in the marriage ) ."
30486,4947,"To hold him who has taught me this art as equal to my parents and to live my life in partnership with him , and if he is in need of money to give him a share of mine , and to regard his offspring as equal to my brothers in male lineage and to teach them this art - if they desire to learn it - without fee and covenant ; to give a share of precepts and oral instruction and all the other learning to my sons and to the sons of him who has instructed me and to pupils who have signed the covenant and have taken an oath according to the medical law , but no one else",1,1,126,"To hold him who has taught me this art as equal to my parents and to live my life in partnership with him , and if he is in need of money to give him a share of mine , and to regard his offspring as equal to my brothers in male lineage and to teach them this art - if they desire to learn it","Note that only male offspring are mentioned . The modern oath supports pro-choice more , imo"
31524,5107,"After a year or two of this , when I discovered there was also a strict theology behind these Asian religions , and it was not just a matter of reading Thomas Merton , meditating and burning incense , I realized that I had been acting like a rich divorced woman with much too much time on her hands ( Think of the British sitcom `` Absolutely Fabulous `` -- - greatest show of all time after Seinfeld ) , and that if you 're really goign to commit yourself to something you need to do more than scratch the surface .",0,0,112,But these statements do not support the theory of evolution .,the important point here being that others like Lurch and Demon would either be able to answer them or point me in the right direction of someone who can
31645,5123,"As lawyers , as representatives of the legal profession , and as recognized experts on the meaning of the Constitution and our system of justice , we share a responsibility to the public and lawmakers to 'say what the law is . ' '' http : //www.abanet.org/gunviol/secondamend.html 4 ) Historians H. Richard Uviller and William G. Merkel explain the language of the second amendment this way- `` It does not say : ' a well-regulated militia is necessary to the security of a free state , and the right of the people to keep and bear arms shall not be infringed ' ....",1,0,140,1 ) It does not examine the meaning of the term `` bear arms `` at the time of the writing of the Constitution . 2 ) In most second amendment cases the courts have not agreed with the above interpretation .,As of yet you have not explained : How the people in the 2nd amendment differ from the people in the other amendments . why the government would put a bill of rights that pertained to `` the people `` in all the other amendments but somehow saw the need to write one for themselves in the 2nd .
32592,5245,"900 Free French paratroopers landed as part of the in the British Special Air Service Brigade ( S.A.S . ) ; the Free French 2nd Armoured Division , under General Leclerc , landed at Utah Beach in Normandy on 1 August 1944 , and eventually led the drive towards Paris , while the divisions which had been fighting in Italy became part of the French First Army , under General Jean de Lattre de Tassigny , and joined the U.S. 7th Army in Operation Dragoon .",0,0,104,Are you really this historically ignorant ?,"The French Resistance played a valuable role in facilitating the Allies ' rapid advance through France following the invasion of Normandy on June 6 , 1944 , and Provence on August 15 ,"
32602,5246,"` And it hath been -- if thou hearken diligently unto My commands which I am commanding you to-day , to love Jehovah your God , and to serve Him with all your heart , and with all your soul -- or a few verses down where we place his words on our hearts and souls ` And ye have placed these my words on your heart , and on your soul , and have bound them for a sign on your hand , and they have been for frontlets between your eyes ;",0,0,107,"IÂ ’ m not saying that they canÂ ’ t , but that the mind of man controls the man , the mind is influenced by the soul . The soul is influenced by either good or evil , since both are beyond the natural .",So we do n't have influence over our soul ? How can we serve god with all our souls as it tells us in Deuteronomy 11:13 ?
33884,5378,"These are the normal , frequent or expectable temporary side effects of pregnancy : -- exhaustion ( weariness common from first weeks ) -- altered appetite and senses of taste and smell -- nausea and vomiting ( 50 % of women , first trimester ) -- heartburn and indigestion -- constipation -- weight gain -- dizziness and light-headedness -- bloating , swelling , fluid retention -- hemmorhoids -- abdominal cramps -- yeast infections -- congested , bloody nose -- acne and mild skin disorders -- skin discoloration ( chloasma , face and abdomen ) --",0,0,139,Life threatening condition that is always physically harmful `` ? What a giant load of steamy BS Rarely is pregnancy physically harmful and even rarer is it life threatening,"You try carrying a load of extra weight about and see what that does to your heart It is also always life threatening - women still die from it and you never know how childbirth is going to go . ,"
33885,5378,"mild to severe backache and strain -- increased headaches -- difficulty sleeping , and discomfort while sleeping -- increased urination and incontinence -- bleeding gums -- pica -- breast pain and discharge -- swelling of joints , leg cramps , joint pain -- difficulty sitting , standing in later pregnancy -- inability to take regular medications -- shortness of breath -- higher blood pressure -- hair loss -- tendency to anemia -- curtailment of ability to participate in some sports and activities -- infection including from serious and potentially fatal disease ( pregnant women are immune suppressed compared with non-pregnant women , and are more susceptible to fungal and certain other diseases ) -- extreme pain on delivery -- hormonal mood changes , including normal post-partum depression -- continued post-partum exhaustion and recovery period ( exacerbated if a c-section -- major surgery -- is required , sometimes taking up to a full year to fully recover )",0,0,207,Life threatening condition that is always physically harmful `` ? What a giant load of steamy BS Rarely is pregnancy physically harmful and even rarer is it life threatening,"You try carrying a load of extra weight about and see what that does to your heart It is also always life threatening - women still die from it and you never know how childbirth is going to go . ,"
33886,5378,"These are the normal , expectable , or frequent PERMANENT side effects of pregnancy : -- stretch marks ( worse in younger women ) -- loose skin -- permanent weight gain or redistribution -- abdominal and vaginal muscle weakness -- pelvic floor disorder ( occurring in as many as 35 % of middle-aged former child-bearers and 50 % of elderly former child-bearers , associated with urinary and rectal incontinence , discomfort and reduced quality of life ) -- changes to breasts -- varicose veins -- scarring from episiotomy or c-section -- other permanent aesthetic changes to the body ( all of these are downplayed by women , because the culture values youth and beauty ) -- increased proclivity for hemmorhoids -- loss of dental and bone calcium ( cavities and osteoporosis )",0,0,184,Life threatening condition that is always physically harmful `` ? What a giant load of steamy BS Rarely is pregnancy physically harmful and even rarer is it life threatening,"You try carrying a load of extra weight about and see what that does to your heart It is also always life threatening - women still die from it and you never know how childbirth is going to go . ,"
33887,5378,"These are the occasional complications and side effects : -- hyperemesis gravidarum -- temporary and permanent injury to back -- severe scarring requiring later surgery ( especially after additional pregnancies ) -- dropped ( prolapsed ) uterus ( especially after additional pregnancies , and other pelvic floor weaknesses -- 11 % of women , including cystocele , rectocele , and enterocele ) -- pre-eclampsia ( edema and hypertension , the most common complication of pregnancy , associated with eclampsia , and affecting 7 - 10 % of pregnancies ) -- eclampsia ( convulsions , coma during pregnancy or labor , high risk of death ) -- gestational diabetes -- placenta previa -- anemia ( which can be life-threatening ) -- thrombocytopenic purpura -- severe cramping -- embolism ( blood clots ) -- medical disability requiring full bed rest ( frequently ordered during part of many pregnancies varying from days to months for health of either mother or baby ) -- diastasis recti , also torn abdominal muscles -- mitral valve stenosis ( most common cardiac complication ) -- serious infection and disease ( e.g . increased risk of tuberculosis ) -- hormonal imbalance -- ectopic pregnancy ( risk of death ) -- broken bones ( ribcage , `` tail bone `` ) --",0,0,318,Life threatening condition that is always physically harmful `` ? What a giant load of steamy BS Rarely is pregnancy physically harmful and even rarer is it life threatening,"You try carrying a load of extra weight about and see what that does to your heart It is also always life threatening - women still die from it and you never know how childbirth is going to go . ,"
33888,5378,"hemorrhage and -- numerous other complications of delivery -- refractory gastroesophageal reflux disease -- aggravation of pre-pregnancy diseases and conditions ( e.g . epilepsy is present in .5 % of pregnant women , and the pregnancy alters drug metabolism and treatment prospects all the while it increases the number and frequency of seizures ) -- severe post-partum depression and psychosis -- research now indicates a possible link between ovarian cancer and female fertility treatments , including `` egg harvesting `` from infertile women and donors -- research also now indicates correlations between lower breast cancer survival rates and proximity in time to onset of cancer of last pregnancy -- research also indicates a correlation between having six or more pregnancies and a risk of coronary and cardiovascular disease These are some less common ( but serious ) complications : -- peripartum cardiomyopathy -- cardiopulmonary arrest -- magnesium toxicity -- severe hypoxemia/acidosis -- massive embolism -- increased intracranial pressure , brainstem infarction -- molar pregnancy , gestational trophoblastic disease ( like a pregnancy-induced cancer ) -- malignant arrhythmia -- circulatory collapse -- placental abruption -- obstetric fistula",0,0,288,Life threatening condition that is always physically harmful `` ? What a giant load of steamy BS Rarely is pregnancy physically harmful and even rarer is it life threatening,"You try carrying a load of extra weight about and see what that does to your heart It is also always life threatening - women still die from it and you never know how childbirth is going to go . ,"
35250,5589,"Colposcopy Procedures 31,248 Cryotherapy Procedures 3,913 LOOP/LEEP Procedures 1,781 Midlife Clients 10,575 Pregnancy Tests 1,081,772 Breast Exams/Breast Care 1,062,727 Adoption ( Referred Out ) 1,963 Primary Care Clients 24,483 STI Procedures , Women and Men 1,255,036 Other Services Â— Women 58,626 Other Services Â— Men 17,905 Totals 6,873,011 Total Unduplicated Clients 2,744,554 -",0,0,125,"Yet according to PP themselves , they provide FAR more abortions and EC services than any of their other services .","You left out a couple of things , though , which makes your post less reliable . But so nobody gets confused or deceived , here is more accurate statistics"
38109,6157,"`` Pro-Gun `` States Lead the Nation in Per Capita Firearm Death Rates Violence Policy Center Analysis of New Data Reveals : Louisiana , Alaska , Montana , Tennessee , and Alabama Top List of Deadliest States in the Nation Blind Allegiance to the Second Amendment Takes Deadly Toll Washington , DC States in the South and West with weak gun laws and high rates of gun ownership lead the nation in overall firearm death rates according to a new analysis issued today by the Violence Policy Center ( VPC ) of Centers for Disease Control and Prevention ( CDC ) data .",1,0,111,"weak gun laws and high rates of gun ownership overall firearm death rates Each of these states had a per capita gun death rate far exceeding the national per capita gun death rate of 10.32 per 100,000 states with strong gun laws and low rates of gun ownership had far lower rates of firearm-related death .","California is just a peachy crime free place because of its strict firearms laws ? What about New York ? Of course they are going to have a higher rate of firearms death , but a lower rate of everything else ( criminal related ) death"
38704,6300,"( up for debate with some ) With the women I 've talked to , if they 've had an `` early on `` abortion they feel less like it was a baby and more like it was an unknown that lacked personification b/c it lacked personality , they could n't feel it , they did n't `` show `` , they did n't allow themselves to name it , use their imagination over what kind of person it would grow up to be , etc .",0,0,104,Why don ' y they call those bunch of cells a baby ? Do it because they believe it really is a baby Do it because it eases their conscience when they kill it ?,"I believe that most women are n't in denial about what they are aborting . I have n't heard any women who have had an abortion call it `` a bunch of cells `` . I have n't heard any women post abortion not consider it a `` human being `` . I have heard the term `` fetus `` more than `` baby `` . I think it 's a choice they make in their best interests , and they have to come to terms with their conscience . If they can not come to terms with their conscience regarding having an abortion , then they have the child ."
40330,6616,Definitions of marriage on the Web : * the state of being a married couple voluntarily joined for life ( or until divorce ) ; `` a long and happy marriage `` ; `` God bless this union `` * two people who are married to each other ; `` his second marriage was happier than the first `` ; `` a married couple without love `` * the act of marrying ; the nuptial ceremony ; `` their marriage was conducted in the chapel `` * a close and intimate union ; `` the marriage of music and dance `` ; `` a marriage of ideas `` Nowhere in there does it say man and woman only .,1,0,137,Your right . The majority is not stopping me from having sex with my partner or living life with my partner ( assuming I had one ) . But here is the definition of marriage .,Oh please there is no me it does not say man and woman because it presumes that it IS a man and a woman . It doesnt say man and goldfish but I would never be able to marry my pet carp .
40677,6657,"Unless your forgeting it is people of your distinct odd calibur full of pointing blame , ridicule , and judging others when they dont have the backbone to judge themselves in the mirror and instead take their frustrations out on others and target them due to self weakness and loathing to incure a disgusting self satisfaction and glee in the suffering of others , that are the basis for all the injustices done to those who have been affected by the horror and torment of persecution due to belief or difference than others .",0,0,106,"Nothing you said changes the fact that one person , the Oregon Attorney General is blocking the will of the people from being known by not submitting the required State Approved Ballot Title . foundit attempted to claim this was a fairly won victory , and I just pointed out that was n't true at all . And these gay talking points about seeking EQUALITY have to",So now your true colors finally show Archie . Now we see the mind numbing dogma that has been persecuting gays for years .
40914,6701,"( It talks about ) Federal agents can wiretap citizens for gun crimes , a federal law banning qualified principals , teachers and parents from defending them with guns People have collectively spent untold millions of dollars in legal fees defending themselves in court against charges that involved their guns There are laws in some states mandating that guns in people s homes ( private property ) be stored according to government edicts Gun buyers must go through background checks , waiting periods , and get licenses if they wish to carry concealed Self-defense with a firearm is banned in many cities and states in America .",1,0,116,"Gun Laws of America is 384 pages of just the federal statutes that regulate than 88,000 words . Additionally , the associated federal regulations interpreting these laws are even larger . Minimum penalty for a violation is typically 5 years in federal prison for every offense","And we have a whole Federal Agency , which is part to the FBI , regulating one of our Constitutional Bill of Rights which is called a First Right , a Fundamental Right an Inalienable and essential right , named the BATF . And YET even all of this is not enough for you guys"
42303,6892,"He changed his mind several times in the text of the Bible : Abraham tried to get Him to but could n't get Him to stop his destruction of Sodom and Gomorrah , God was out to kill Moses ' sons , but Moses quickly circumcised them and God changed his mind , also Moses succeeded in changing God 's mind when Moses learned that He was out to destroy the Israelites , God was determined to level Ninevah but after Jonah preached He changed his mind because the people repented , God spoke to the prophet Jeremiah saying : When I pronounce judgment on a peoples but they later turn from their sins , I will change my mind concerning the judgment I had determined on them .",0,0,147,Post away here if you wish but there is another post of the same title in the Religion thread that has a lot of discussion in it concerning what is probably the strongest discrepancy in the Bible .,God changed His mind ! Maybe you ought to start praying that He will change His mind about your destiny as well .
42720,6942,"These phrases : `` right of the people peaceably to assemble , `` `` right of the people to be secure in their homes , `` `` enumerations herein of certain rights shall not be construed to disparage others retained by the people , `` and `` The powers not delegated herein are reserved to the states respectively , and to the people `` all refer to individuals , but `` the right of the people to keep and bear arm `` refers to the state .",0,0,109,"Coming from a person who used to believe in more gun controls ( myself ) , I 'd like to say this post really sums up all the reasons I 've changed my views on gun controls . Not only do they not work the way they are intended to , they make the constitution work the way it was intended to .","oh it gets better .... Significant portions of this article are excerpted from Michael Z. Williamson 's excellent and witty piece , It 's amazing what one has to believe to believe in gun control `` 1 . Banning guns works , which is why New York , DC , & Chicago cops need guns . 2 . Washington DC 's low murder rate of 69 per 100,000 is due to strict gun control , and Indianapolis ' high murder rate of 9 per 100,000 is due to the lack of gun control ."
43621,7051,per year late Precambrian/900mybp/487 days earliest Cambrian Period/600mybp/424 days early Ordovician Period/500mybp/412 days middle Devonian Period/370mybp/398 days Permo-Triassic boundary/245mybp/386 days `` Jurassic Park `` /180mybp/381 days end Cretaceous ( Chixulub ) /65mybp/371 days,1,1,102,Geologic time/millions of years ago ( mybp ) /days per year late Precambrian/900mybp/487 days earliest Cambrian Period/600mybp/424 days early Ordovician Period/500mybp/412 days middle Devonian Period/370mybp/398 days Permo-Triassic boundary/245mybp/386 days,But that does n't help much with calculating the length of a day from actual astronomical observations . Perhaps if we told Freeofthought that the current rate of slowing of the earth is 0.005 sec/year/year .
44373,7174,"I also find it hard to believe some of what gets posted in favor of the slippery slope argument- such as claims that Sarah Brady wants all guns to be banned which are contradicted by quotes by her in credible online sources and also such statistics as `` [ i ] t is estimated that there are between 22,000 and 30,000 gun laws on the books in America `` which have little basis in fact : `` The belief that there are approximately 20,000 gun-control laws in the United States has become received wisdom .....",1,0,115,Could it be that pro-gun extremists find it necessary to resort to the slippery slope fallacy because they find it otherwise difficult to make a convincing argument against reasonable and common sense gun laws aimed at protecting law abiding citizens from gun violence and the misuse of firearms ?,"New proposals invariable seek to criminalize possession by the public , possession which is perfectly lawful and harms no one , creating victimless crimes , and malum prohibitum laws that reduce freedom . That 's why new bills typically meet such stiff resistance ."
46131,7451,"These are the normal , frequent or expectable temporary side effects of pregnancy : -- exhaustion ( weariness common from first weeks ) -- altered appetite and senses of taste and smell -- nausea and vomiting ( 50 % of women , first trimester ) -- heartburn and indigestion -- constipation -- weight gain -- dizziness and light-headedness -- bloating , swelling , fluid retention -- hemmorhoids -- abdominal cramps -- yeast infections -- congested , bloody nose -- acne and mild skin disorders -- skin discoloration ( chloasma , face and abdomen ) --",1,0,139,You try carrying a load of extra weight about and see what that does to your heart . It is also always life threatening - women still die,"why are there so few life-threatening conditions mentioned above ? I agree that pregnancy can tax a person 's system ,"
46132,7451,"mild to severe backache and strain -- increased headaches -- difficulty sleeping , and discomfort while sleeping -- increased urination and incontinence -- bleeding gums -- pica -- breast pain and discharge -- swelling of joints , leg cramps , joint pain -- difficulty sitting , standing in later pregnancy -- inability to take regular medications -- shortness of breath -- higher blood pressure -- hair loss -- tendency to anemia -- curtailment of ability to participate in some sports and activities -- infection including from serious and potentially fatal disease ( pregnant women are immune suppressed compared with non-pregnant women , and are more susceptible to fungal and certain other diseases ) -- extreme pain on delivery -- hormonal mood changes , including normal post-partum depression -- continued post-partum exhaustion and recovery period ( exacerbated if a c-section -- major surgery -- is required , sometimes taking up to a full year to fully recover )",1,0,207,You try carrying a load of extra weight about and see what that does to your heart . It is also always life threatening - women still die,"why are there so few life-threatening conditions mentioned above ? I agree that pregnancy can tax a person 's system ,"
46133,7451,"These are the normal , expectable , or frequent PERMANENT side effects of pregnancy : -- stretch marks ( worse in younger women ) -- loose skin -- permanent weight gain or redistribution -- abdominal and vaginal muscle weakness -- pelvic floor disorder ( occurring in as many as 35 % of middle-aged former child-bearers and 50 % of elderly former child-bearers , associated with urinary and rectal incontinence , discomfort and reduced quality of life ) -- changes to breasts -- varicose veins -- scarring from episiotomy or c-section -- other permanent aesthetic changes to the body ( all of these are downplayed by women , because the culture values youth and beauty ) -- increased proclivity for hemmorhoids -- loss of dental and bone calcium ( cavities and osteoporosis )",1,0,184,You try carrying a load of extra weight about and see what that does to your heart . It is also always life threatening - women still die,"why are there so few life-threatening conditions mentioned above ? I agree that pregnancy can tax a person 's system ,"
46134,7451,"These are the occasional complications and side effects : -- hyperemesis gravidarum -- temporary and permanent injury to back -- severe scarring requiring later surgery ( especially after additional pregnancies ) -- dropped ( prolapsed ) uterus ( especially after additional pregnancies , and other pelvic floor weaknesses -- 11 % of women , including cystocele , rectocele , and enterocele ) -- pre-eclampsia ( edema and hypertension , the most common complication of pregnancy , associated with eclampsia , and affecting 7 - 10 % of pregnancies ) -- eclampsia ( convulsions , coma during pregnancy or labor , high risk of death ) -- gestational diabetes -- placenta previa -- anemia ( which can be life-threatening ) -- thrombocytopenic purpura -- severe cramping -- embolism ( blood clots ) -- medical disability requiring full bed rest ( frequently ordered during part of many pregnancies varying from days to months for health of either mother or baby ) -- diastasis recti , also torn abdominal muscles -- mitral valve stenosis ( most common cardiac complication ) -- serious infection and disease ( e.g . increased risk of tuberculosis ) -- hormonal imbalance -- ectopic pregnancy ( risk of death ) -- broken bones ( ribcage , `` tail bone `` ) --",1,0,318,You try carrying a load of extra weight about and see what that does to your heart . It is also always life threatening - women still die,"why are there so few life-threatening conditions mentioned above ? I agree that pregnancy can tax a person 's system ,"
46135,7451,"hemorrhage and -- numerous other complications of delivery -- refractory gastroesophageal reflux disease -- aggravation of pre-pregnancy diseases and conditions ( e.g . epilepsy is present in .5 % of pregnant women , and the pregnancy alters drug metabolism and treatment prospects all the while it increases the number and frequency of seizures ) -- severe post-partum depression and psychosis -- research now indicates a possible link between ovarian cancer and female fertility treatments , including `` egg harvesting `` from infertile women and donors -- research also now indicates correlations between lower breast cancer survival rates and proximity in time to onset of cancer of last pregnancy -- research also indicates a correlation between having six or more pregnancies and a risk of coronary and cardiovascular disease These are some less common ( but serious ) complications : -- peripartum cardiomyopathy -- cardiopulmonary arrest -- magnesium toxicity -- severe hypoxemia/acidosis -- massive embolism -- increased intracranial pressure , brainstem infarction -- molar pregnancy , gestational trophoblastic disease ( like a pregnancy-induced cancer ) -- malignant arrhythmia -- circulatory collapse -- placental abruption -- obstetric fistula",1,0,288,You try carrying a load of extra weight about and see what that does to your heart . It is also always life threatening - women still die,"why are there so few life-threatening conditions mentioned above ? I agree that pregnancy can tax a person 's system ,"
